Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
2881384688,NBA FREE 200-Player,115281083,$0,19608795,19608574,19608553,19608715,19608683,19608771,19608481,19608658,,1. Column A lists all of your contest entries for this draftgroup
,,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
,,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PF,Julius Randle (19608409),Julius Randle,19608409,PF/F/UTIL,9200,NYK@WAS 10/09/2021 07:00PM ET,NYK,48.16
,,,,,,,,,,,,,PF,Jayson Tatum (19608412),Jayson Tatum,19608412,PF/F/UTIL,8800,TOR@BOS 10/09/2021 07:00PM ET,BOS,46.68
,,,,,,,,,,,,,PG/SG,Bradley Beal (19608415),Bradley Beal,19608415,PG/SG/G/UTIL,8700,NYK@WAS 10/09/2021 07:00PM ET,WAS,46.31
,,,,,,,,,,,,,PG,Ja Morant (19608419),Ja Morant,19608419,PG/G/UTIL,8400,ATL@MEM 10/09/2021 08:00PM ET,MEM,37.98
,,,,,,,,,,,,,PG,Trae Young (19608422),Trae Young,19608422,PG/G/UTIL,8000,ATL@MEM 10/09/2021 08:00PM ET,ATL,46.69
,,,,,,,,,,,,,C,Clint Capela (19608425),Clint Capela,19608425,C/UTIL,7600,ATL@MEM 10/09/2021 08:00PM ET,ATL,37.83
,,,,,,,,,,,,,SG/SF,Jaylen Brown (19608427),Jaylen Brown,19608427,SG/SF/F/G/UTIL,7500,TOR@BOS 10/09/2021 07:00PM ET,BOS,41.06
,,,,,,,,,,,,,PG/SG,Bogdan Bogdanovic (19608432),Bogdan Bogdanovic,19608432,PG/SG/G/UTIL,7300,ATL@MEM 10/09/2021 08:00PM ET,ATL,29.25
,,,,,,,,,,,,,SF,RJ Barrett (19608436),RJ Barrett,19608436,SF/F/UTIL,7300,NYK@WAS 10/09/2021 07:00PM ET,NYK,31.29
,,,,,,,,,,,,,PF,Pascal Siakam (19608439),Pascal Siakam,19608439,PF/F/UTIL,7200,TOR@BOS 10/09/2021 07:00PM ET,TOR,40.59
,,,,,,,,,,,,,PG,Kemba Walker (19608442),Kemba Walker,19608442,PG/G/UTIL,6900,NYK@WAS 10/09/2021 07:00PM ET,NYK,34.43
,,,,,,,,,,,,,PF/C,John Collins (19608445),John Collins,19608445,PF/C/F/UTIL,6800,ATL@MEM 10/09/2021 08:00PM ET,ATL,31.40
,,,,,,,,,,,,,C,Steven Adams (19608449),Steven Adams,19608449,C/UTIL,6700,ATL@MEM 10/09/2021 08:00PM ET,MEM,24.39
,,,,,,,,,,,,,SF/PF,Scottie Barnes (19608451),Scottie Barnes,19608451,SF/PF/F/UTIL,6600,TOR@BOS 10/09/2021 07:00PM ET,TOR,0
,,,,,,,,,,,,,PG,Fred VanVleet (19608455),Fred VanVleet,19608455,PG/G/UTIL,6400,TOR@BOS 10/09/2021 07:00PM ET,TOR,40.02
,,,,,,,,,,,,,PG,Spencer Dinwiddie (19608458),Spencer Dinwiddie,19608458,PG/G/UTIL,6300,NYK@WAS 10/09/2021 07:00PM ET,WAS,18.08
,,,,,,,,,,,,,SF,OG Anunoby (19608461),OG Anunoby,19608461,SF/F/UTIL,6200,TOR@BOS 10/09/2021 07:00PM ET,TOR,31.01
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (19608464),Jaren Jackson Jr.,19608464,PF/C/F/UTIL,6100,ATL@MEM 10/09/2021 08:00PM ET,MEM,27.31
,,,,,,,,,,,,,PG/SG,Lou Williams (19608468),Lou Williams,19608468,PG/SG/G/UTIL,6000,ATL@MEM 10/09/2021 08:00PM ET,ATL,19.05
,,,,,,,,,,,,,PF/C,Thomas Bryant (19608472),Thomas Bryant,19608472,PF/C/F/UTIL,6000,NYK@WAS 10/09/2021 07:00PM ET,WAS,26.62
,,,,,,,,,,,,,SG/SF,Evan Fournier (19608476),Evan Fournier,19608476,SG/SF/F/G/UTIL,5900,NYK@WAS 10/09/2021 07:00PM ET,NYK,29.14
,,,,,,,,,,,,,PF,Danilo Gallinari (19608481),Danilo Gallinari,19608481,PF/F/UTIL,5800,ATL@MEM 10/09/2021 08:00PM ET,ATL,22.23
,,,,,,,,,,,,,C,Daniel Gafford (19608484),Daniel Gafford,19608484,C/UTIL,5800,NYK@WAS 10/09/2021 07:00PM ET,WAS,17.90
,,,,,,,,,,,,,SF/PF,Kyle Kuzma (19608486),Kyle Kuzma,19608486,SF/PF/F/UTIL,5700,NYK@WAS 10/09/2021 07:00PM ET,WAS,25
,,,,,,,,,,,,,C,Montrezl Harrell (19608490),Montrezl Harrell,19608490,C/UTIL,5700,NYK@WAS 10/09/2021 07:00PM ET,WAS,24.17
,,,,,,,,,,,,,C,Gorgui Dieng (19608492),Gorgui Dieng,19608492,C/UTIL,5600,ATL@MEM 10/09/2021 08:00PM ET,ATL,15.41
,,,,,,,,,,,,,PG,Luca Vildoza (19608494),Luca Vildoza,19608494,PG/G/UTIL,5600,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,C,Chris Boucher (19608500),Chris Boucher,19608500,C/UTIL,5500,TOR@BOS 10/09/2021 07:00PM ET,TOR,29.16
,,,,,,,,,,,,,PG,Immanuel Quickley (19608497),Immanuel Quickley,19608497,PG/G/UTIL,5500,NYK@WAS 10/09/2021 07:00PM ET,NYK,18.22
,,,,,,,,,,,,,PF/C,Rui Hachimura (19608502),Rui Hachimura,19608502,PF/C/F/UTIL,5500,NYK@WAS 10/09/2021 07:00PM ET,WAS,24.56
,,,,,,,,,,,,,C,Khem Birch (19608506),Khem Birch,19608506,C/UTIL,5400,TOR@BOS 10/09/2021 07:00PM ET,TOR,19.24
,,,,,,,,,,,,,C,Nerlens Noel (19608508),Nerlens Noel,19608508,C/UTIL,5400,NYK@WAS 10/09/2021 07:00PM ET,NYK,19.65
,,,,,,,,,,,,,SG,Kentavious Caldwell-Pope (19608510),Kentavious Caldwell-Pope,19608510,SG/G/UTIL,5400,NYK@WAS 10/09/2021 07:00PM ET,WAS,18.68
,,,,,,,,,,,,,PG,Payton Pritchard (19608526),Payton Pritchard,19608526,PG/G/UTIL,5300,TOR@BOS 10/09/2021 07:00PM ET,BOS,14.66
,,,,,,,,,,,,,SG/SF,Kevin Huerter (19608513),Kevin Huerter,19608513,SG/SF/F/G/UTIL,5300,ATL@MEM 10/09/2021 08:00PM ET,ATL,24.57
,,,,,,,,,,,,,SG/SF,Ziaire Williams (19608518),Ziaire Williams,19608518,SG/SF/F/G/UTIL,5300,ATL@MEM 10/09/2021 08:00PM ET,MEM,0
,,,,,,,,,,,,,PF,Obi Toppin (19608523),Obi Toppin,19608523,PF/F/UTIL,5300,NYK@WAS 10/09/2021 07:00PM ET,NYK,8.77
,,,,,,,,,,,,,PG/SG,Marcus Smart (19608535),Marcus Smart,19608535,PG/SG/G/UTIL,5200,TOR@BOS 10/09/2021 07:00PM ET,BOS,30.24
,,,,,,,,,,,,,PF/C,Onyeka Okongwu (19608529),Onyeka Okongwu,19608529,PF/C/F/UTIL,5200,ATL@MEM 10/09/2021 08:00PM ET,ATL,10.36
,,,,,,,,,,,,,C,Marc Gasol (19608533),Marc Gasol,19608533,C/UTIL,5200,ATL@MEM 10/09/2021 08:00PM ET,MEM,16.68
,,,,,,,,,,,,,PF/C,Taj Gibson (19608539),Taj Gibson,19608539,PF/C/F/UTIL,5200,NYK@WAS 10/09/2021 07:00PM ET,NYK,17.14
,,,,,,,,,,,,,SG/SF,Cam Reddish (19608543),Cam Reddish,19608543,SG/SF/F/G/UTIL,5100,ATL@MEM 10/09/2021 08:00PM ET,ATL,21.83
,,,,,,,,,,,,,SG,Dillon Brooks (19608548),Dillon Brooks,19608548,SG/G/UTIL,5100,ATL@MEM 10/09/2021 08:00PM ET,MEM,28.39
,,,,,,,,,,,,,C,Mitchell Robinson (19608551),Mitchell Robinson,19608551,C/UTIL,5100,NYK@WAS 10/09/2021 07:00PM ET,NYK,24.23
,,,,,,,,,,,,,SG/SF,Corey Kispert (19608553),Corey Kispert,19608553,SG/SF/F/G/UTIL,5100,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,PG,Dennis Schroder (19608571),Dennis Schroder,19608571,PG/G/UTIL,5000,TOR@BOS 10/09/2021 07:00PM ET,BOS,29.91
,,,,,,,,,,,,,SF,De'Andre Hunter (19608558),De'Andre Hunter,19608558,SF/F/UTIL,5000,ATL@MEM 10/09/2021 08:00PM ET,ATL,25.11
,,,,,,,,,,,,,SF,Sean McDermott (19608561),Sean McDermott,19608561,SF/F/UTIL,5000,ATL@MEM 10/09/2021 08:00PM ET,MEM,4.40
,,,,,,,,,,,,,PG/SG,Derrick Rose (19608564),Derrick Rose,19608564,PG/SG/G/UTIL,5000,NYK@WAS 10/09/2021 07:00PM ET,NYK,27.26
,,,,,,,,,,,,,PG,Cassius Winston (19608568),Cassius Winston,19608568,PG/G/UTIL,5000,NYK@WAS 10/09/2021 07:00PM ET,WAS,3.59
