iter	RMSE
0	7.756230742
1	7.694408104
2	7.636274423
3	7.578999048
4	7.523064334
5	7.469804854
6	7.418687179
7	7.367091392
8	7.318461462
9	7.270294614
10	7.224043109
11	7.178968218
12	7.135641672
13	7.093637604
14	7.05243688
15	7.01313399
16	6.976240805
17	6.938676368
18	6.902158584
19	6.867184557
20	6.832825587
21	6.799906608
22	6.767562059
23	6.736556487
24	6.707116883
25	6.678605158
26	6.650799521
27	6.623572391
28	6.596886007
29	6.571288129
30	6.547162954
31	6.522854873
32	6.499613243
33	6.477196367
34	6.455140322
35	6.434877659
36	6.414588197
37	6.39520047
38	6.376220162
39	6.358144555
40	6.34025547
41	6.322766246
42	6.305842361
43	6.289855852
44	6.274209167
45	6.259861728
46	6.245145858
47	6.230884219
48	6.216951228
49	6.203882665
50	6.19088487
51	6.178607422
52	6.166604794
53	6.155137869
54	6.144254853
55	6.133530715
56	6.122961515
57	6.112841092
58	6.10303881
59	6.093739609
60	6.084580849
61	6.075808904
62	6.067264256
63	6.05892045
64	6.050734488
65	6.042767412
66	6.035087447
67	6.027925709
68	6.021076871
69	6.013915564
70	6.007351486
71	6.000954628
72	5.994823868
73	5.988647402
74	5.982811936
75	5.977305208
76	5.971883214
77	5.966623866
78	5.961341753
79	5.956431605
80	5.951596095
81	5.946956272
82	5.942349209
83	5.938036043
84	5.934007696
85	5.929962829
86	5.926284962
87	5.92258501
88	5.918819244
89	5.915244718
90	5.911783969
91	5.908372505
92	5.904927201
93	5.901925588
94	5.898904187
95	5.896060064
96	5.893090898
97	5.890253302
98	5.88764858
99	5.885305438
100	5.882604627
101	5.880236923
102	5.877817795
103	5.875543497
104	5.873404202
105	5.871302015
106	5.869130464
107	5.867123649
108	5.865336067
109	5.863374956
110	5.861454545
111	5.859614943
112	5.857921574
113	5.856366096
114	5.854774717
115	5.853187267
116	5.851549597
117	5.849948643
118	5.848399359
119	5.847105074
120	5.845918351
121	5.844554848
122	5.843227534
123	5.841967732
124	5.840768847
125	5.839584565
126	5.838604663
127	5.837507973
128	5.836319409
129	5.835254879
130	5.834245922
131	5.833182752
132	5.832219265
133	5.83124865
134	5.830339965
135	5.829503581
136	5.828735075
137	5.82787291
138	5.827064108
139	5.826336327
140	5.825600945
141	5.824899989
142	5.824219194
143	5.823450866
144	5.822742869
145	5.822003616
146	5.821425505
147	5.820742033
148	5.820070387
149	5.819498068
150	5.818906195
151	5.818295822
152	5.817836884
153	5.817251864
154	5.8166907
155	5.816173827
156	5.815716486
157	5.815224685
158	5.814779163
159	5.814313034
160	5.813828055
161	5.813347177
162	5.812955228
163	5.812478918
164	5.812043783
165	5.811675364
166	5.811246869
167	5.810891056
168	5.810569548
169	5.810232058
170	5.809896972
171	5.809561851
172	5.809278684
173	5.808996427
174	5.808703172
175	5.808482619
176	5.808147475
177	5.807904207
178	5.807538873
179	5.807291625
180	5.80703441
181	5.806734096
182	5.806456791
183	5.806216502
184	5.805937008
185	5.805755217
186	5.805533145
187	5.805272701
188	5.805074325
189	5.804863919
190	5.804669983
191	5.804452683
192	5.804223531
193	5.804070413
194	5.803899295
195	5.803743586
196	5.80354205
197	5.803343896
198	5.803144941
199	5.80294744
200	5.802758096
201	5.802626745
202	5.802476169
203	5.802346337
204	5.802167748
205	5.80200593
206	5.801835983
207	5.801628751
208	5.80145603
209	5.801303819
210	5.801141986
211	5.801018667
212	5.800870126
213	5.800721227
214	5.800580807
