iter	Passed	Remaining
0	5	25149
1	8	21147
2	12	20401
3	15	19732
4	19	19375
5	23	19183
6	26	18792
7	29	18688
8	33	18488
9	36	18356
10	40	18313
11	43	18168
12	47	18157
13	50	18123
14	54	18018
15	57	17973
16	61	17916
17	64	17896
18	68	17857
19	71	17825
20	75	17794
21	78	17751
22	82	17793
23	85	17748
24	88	17691
25	92	17673
26	95	17650
27	99	17651
28	103	17667
29	106	17631
30	109	17597
31	113	17576
32	116	17568
33	120	17536
34	123	17528
35	127	17516
36	130	17498
37	133	17492
38	137	17469
39	140	17469
40	144	17453
41	147	17449
42	151	17444
43	154	17433
44	158	17412
45	161	17392
46	164	17384
47	168	17370
48	171	17352
49	175	17353
50	178	17336
51	182	17320
52	185	17312
53	188	17297
54	192	17280
55	195	17264
56	199	17259
57	202	17242
58	205	17243
59	209	17236
60	212	17232
61	216	17232
62	219	17230
63	223	17219
64	226	17212
65	230	17196
66	233	17194
67	236	17187
68	240	17172
69	243	17179
70	247	17170
71	250	17172
72	254	17165
73	257	17160
74	261	17148
75	264	17140
76	268	17156
77	271	17143
78	275	17131
79	278	17128
80	281	17119
81	285	17119
82	289	17120
83	292	17110
84	295	17098
85	299	17088
86	302	17091
87	306	17081
88	309	17082
89	312	17073
90	316	17060
91	319	17063
92	323	17052
93	326	17043
94	330	17039
95	333	17033
96	337	17038
97	340	17036
98	343	17028
99	347	17016
100	350	17008
101	354	17015
102	357	17012
103	361	17009
104	364	17002
105	368	16990
106	371	16992
107	375	16991
108	378	16982
109	382	16992
110	385	16983
111	389	16980
112	392	16973
113	395	16964
114	399	16957
115	402	16951
116	406	16952
117	409	16944
118	412	16936
119	416	16928
120	419	16922
121	423	16922
122	426	16915
123	430	16912
124	433	16902
125	436	16900
126	440	16898
127	443	16892
128	447	16881
129	450	16872
130	453	16867
131	457	16866
132	460	16858
133	464	16852
134	467	16845
135	470	16841
136	474	16849
137	478	16842
138	481	16837
139	485	16848
140	488	16839
141	492	16838
142	495	16830
143	498	16826
144	502	16820
145	505	16814
146	509	16810
147	512	16801
148	516	16801
149	519	16792
150	522	16788
151	526	16789
152	529	16782
153	533	16780
154	536	16772
155	539	16764
156	543	16765
157	546	16760
158	550	16752
159	554	16766
160	557	16758
161	561	16755
162	564	16749
163	567	16746
164	571	16738
165	574	16731
166	578	16730
167	581	16723
168	585	16723
169	588	16719
170	591	16715
171	595	16712
172	598	16708
173	602	16701
174	607	16746
175	610	16745
176	614	16742
177	617	16735
178	621	16727
179	624	16720
180	627	16719
181	631	16715
182	634	16707
183	638	16705
184	641	16698
185	645	16694
186	648	16689
187	651	16680
188	655	16674
189	658	16669
190	662	16675
191	665	16669
192	669	16665
193	672	16658
194	675	16651
195	679	16648
196	682	16646
197	686	16641
198	689	16637
199	692	16631
200	696	16631
201	700	16626
202	703	16620
203	706	16618
204	710	16613
205	713	16609
206	716	16601
207	720	16596
208	723	16590
209	727	16591
210	730	16588
211	734	16581
212	737	16576
213	740	16570
214	744	16564
215	747	16559
216	751	16556
217	754	16552
218	757	16546
219	761	16543
220	764	16538
221	768	16536
222	771	16532
223	775	16524
224	778	16518
225	781	16514
226	785	16508
227	788	16502
228	791	16500
229	795	16493
230	798	16492
231	802	16490
232	805	16484
233	808	16477
234	812	16476
235	815	16470
236	819	16464
237	822	16463
238	826	16457
239	829	16453
240	833	16450
241	836	16445
242	839	16440
243	843	16437
244	846	16436
245	850	16432
246	853	16428
247	857	16428
248	860	16422
249	864	16421
250	867	16414
251	870	16409
252	874	16404
253	877	16398
254	881	16396
255	884	16390
256	888	16388
257	891	16385
258	894	16381
259	898	16378
260	901	16371
261	906	16399
262	910	16402
263	914	16411
264	919	16424
265	923	16436
266	928	16460
267	932	16457
268	936	16472
269	940	16470
270	944	16486
271	948	16482
272	951	16476
273	959	16544
274	965	16585
275	969	16600
276	974	16609
277	980	16657
278	986	16700
279	990	16694
280	994	16700
281	997	16696
282	1002	16704
283	1006	16705
284	1011	16726
285	1017	16772
286	1024	16818
287	1030	16852
288	1034	16859
289	1037	16856
290	1041	16853
291	1044	16848
292	1048	16843
293	1053	16869
294	1057	16871
295	1061	16865
296	1064	16857
297	1068	16853
298	1071	16846
299	1074	16839
300	1078	16834
301	1081	16827
302	1085	16822
303	1088	16816
304	1092	16810
305	1095	16802
306	1097	16780
307	1101	16776
308	1104	16768
309	1107	16760
310	1111	16754
311	1114	16748
312	1117	16740
313	1121	16734
314	1124	16730
315	1128	16724
316	1131	16717
317	1135	16714
318	1138	16705
319	1141	16698
320	1145	16693
321	1148	16688
322	1152	16682
323	1155	16676
324	1164	16752
325	1167	16745
326	1171	16743
327	1175	16737
328	1178	16732
329	1181	16725
330	1185	16719
331	1188	16712
332	1191	16705
333	1195	16701
334	1198	16694
335	1202	16688
336	1205	16684
337	1209	16677
338	1212	16671
339	1215	16666
340	1219	16659
341	1222	16654
342	1226	16647
343	1229	16641
344	1232	16634
345	1236	16629
346	1239	16626
347	1243	16621
348	1246	16616
349	1250	16610
350	1253	16604
351	1257	16598
352	1260	16592
353	1264	16593
354	1267	16586
355	1271	16581
356	1274	16575
357	1277	16570
358	1281	16562
359	1284	16555
360	1288	16553
361	1291	16546
362	1294	16540
363	1298	16534
364	1301	16527
365	1304	16522
366	1308	16517
367	1311	16510
368	1315	16505
369	1318	16500
370	1322	16495
371	1325	16490
372	1328	16484
373	1332	16479
374	1335	16472
375	1339	16469
376	1342	16465
377	1346	16459
378	1349	16454
379	1353	16449
380	1356	16446
381	1360	16442
382	1363	16436
383	1366	16429
384	1370	16424
385	1373	16420
386	1376	16413
387	1380	16409
388	1383	16402
389	1387	16397
390	1390	16394
391	1394	16389
392	1397	16382
393	1400	16376
394	1404	16372
395	1407	16367
396	1411	16362
397	1414	16357
398	1418	16351
399	1421	16347
400	1425	16344
401	1428	16337
402	1431	16332
403	1435	16327
404	1438	16321
405	1442	16317
406	1445	16311
407	1448	16308
408	1452	16302
409	1455	16299
410	1459	16296
411	1463	16291
412	1466	16286
413	1469	16280
414	1473	16276
415	1476	16273
416	1480	16268
417	1483	16263
418	1486	16256
419	1490	16251
420	1494	16251
421	1497	16245
422	1501	16241
423	1504	16235
424	1507	16229
425	1511	16225
426	1514	16220
427	1518	16216
428	1521	16209
429	1524	16206
430	1528	16202
431	1531	16198
432	1535	16193
433	1538	16187
434	1542	16182
435	1545	16178
436	1548	16173
437	1552	16167
438	1555	16162
439	1559	16157
440	1562	16152
441	1565	16148
442	1569	16144
443	1572	16139
