iter	RMSE
0	596.0253808
1	589.424727
2	582.9274096
3	576.602928
4	570.4385605
5	564.4392108
6	558.6905226
7	552.9208068
8	547.4467416
9	542.0386352
10	536.7530324
11	531.6138363
12	526.6867766
13	521.9584548
14	517.2642897
15	512.7694409
16	508.4262552
17	504.1426169
18	499.9670483
19	495.9807783
20	492.064244
21	488.2729199
22	484.6338822
23	481.0312119
24	477.5815957
25	474.2319725
26	470.9933831
27	467.8941602
28	464.8054152
29	461.8911218
30	459.010009
31	456.2272132
32	453.5566536
33	450.9455576
34	448.445395
35	446.0408478
36	443.6484754
37	441.3291785
38	439.0672687
39	436.9479008
40	434.870219
41	432.8487218
42	430.8720917
43	429.0000219
44	427.1490582
45	425.4209657
46	423.6691633
47	421.983716
48	420.3685451
49	418.8226503
50	417.3488831
51	415.8993336
52	414.4487919
53	413.0683735
54	411.743364
55	410.4706231
56	409.2132568
57	407.9899914
58	406.8170565
59	405.702197
60	404.6147019
61	403.5788831
62	402.5307171
63	401.5355549
64	400.5666008
65	399.6394814
66	398.7594205
67	397.8886609
68	397.06977
69	396.2614331
70	395.5107108
71	394.7626074
72	394.0377967
73	393.3361826
74	392.6409279
75	391.9925712
76	391.3574311
77	390.7324767
78	390.1271895
79	389.5576071
80	389.0050033
81	388.4767854
82	387.9413652
83	387.4328964
84	386.942077
85	386.4867353
86	386.0344006
87	385.5780803
88	385.1439972
89	384.7160027
90	384.3163919
91	383.9168348
92	383.5348675
93	383.1576363
94	382.8089921
95	382.4582244
96	382.1332923
97	381.8167823
98	381.495446
99	381.1984463
100	380.9019599
101	380.6379399
102	380.3612194
103	380.09338
104	379.8470186
105	379.594253
106	379.3581606
107	379.1246757
108	378.9020249
109	378.6869977
110	378.4691719
111	378.2712866
112	378.0876419
113	377.8973493
114	377.7159452
115	377.5431233
116	377.372823
117	377.2014649
118	377.0354308
119	376.8788594
120	376.7221028
121	376.5655926
122	376.42243
123	376.2795157
124	376.144932
125	376.0152103
126	375.892704
127	375.7801729
128	375.6634601
129	375.5425188
130	375.4249749
131	375.3144153
132	375.2225584
133	375.1158016
134	375.0128904
135	374.9193832
136	374.8216583
137	374.725842
138	374.6435292
139	374.5661062
140	374.4870205
141	374.4033617
142	374.322594
143	374.2428471
144	374.1641723
145	374.0935843
146	374.0262702
147	373.959082
148	373.8950423
149	373.8294389
150	373.7634185
151	373.7026282
152	373.649339
153	373.5874536
154	373.5275945
155	373.4717382
156	373.4159658
157	373.3653731
158	373.3142347
159	373.26185
160	373.2112525
161	373.1614491
162	373.1213405
163	373.0752079
164	373.0302378
165	372.9823548
166	372.9374027
167	372.8998364
168	372.8588802
169	372.8244158
170	372.7850181
171	372.7512377
172	372.7184142
173	372.682019
174	372.6476905
175	372.6181099
176	372.588488
177	372.5606579
178	372.5235784
179	372.4929338
180	372.4614484
181	372.4366388
182	372.4081164
183	372.3805012
184	372.3542227
185	372.3275715
186	372.3001512
187	372.274013
188	372.2504897
189	372.2259893
190	372.2001831
191	372.1782757
192	372.1588242
193	372.1437443
194	372.1224492
195	372.0994549
196	372.0791949
197	372.0571453
198	372.0357746
199	372.0165623
200	371.9903893
201	371.9735778
202	371.9573634
203	371.9403718
204	371.9173161
205	371.9020178
206	371.8844111
207	371.8650653
208	371.8511962
209	371.8330758
210	371.8180622
211	371.8050227
212	371.7882041
213	371.769692
214	371.7528081
215	371.7356611
216	371.7253522
217	371.7105725
218	371.6920672
219	371.6782628
220	371.6678547
221	371.6532601
222	371.6395586
223	371.6265446
224	371.6136044
225	371.601323
226	371.5895349
227	371.5763593
228	371.5641424
229	371.5526932
230	371.5413654
231	371.5303286
232	371.5197091
233	371.5102531
234	371.5008897
235	371.4877707
236	371.4787098
237	371.4658141
238	371.4567554
239	371.4468379
240	371.4375915
241	371.4255385
242	371.4169536
243	371.4070564
244	371.3967031
245	371.3852211
246	371.3789798
247	371.3675776
248	371.357518
249	371.3459202
250	371.3371557
251	371.3275346
252	371.3200246
253	371.3090016
254	371.300199
255	371.2922831
256	371.2812129
257	371.2749948
258	371.2651862
259	371.2587175
260	371.2509091
261	371.2441113
262	371.2382731
263	371.2305094
264	371.2223243
265	371.2135726
266	371.2058574
267	371.1984162
268	371.1906696
269	371.1815651
270	371.1774529
271	371.1681474
272	371.1618786
273	371.1544459
274	371.1474555
275	371.1350975
276	371.1281709
277	371.1191759
278	371.1125846
279	371.1035075
280	371.0973726
281	371.0895272
282	371.0840027
283	371.0778153
284	371.0732928
285	371.0687704
286	371.0613826
287	371.0539348
288	371.0488835
289	371.0418419
290	371.0376691
291	371.0288126
292	371.0196035
293	371.012822
294	371.0082626
295	371.0015087
296	370.9968406
297	370.9897133
298	370.9802003
299	370.9748515
300	370.9665506
301	370.9611162
302	370.9555497
303	370.9481948
304	370.9424428
305	370.9356761
306	370.9322323
307	370.9206424
308	370.9181557
309	370.909206
310	370.9019731
311	370.896784
312	370.8906055
313	370.8862194
314	370.8833659
315	370.8779519
316	370.871314
317	370.8637189
318	370.8557816
319	370.8513914
320	370.8470953
321	370.8425972
322	370.8374283
323	370.8322136
324	370.8223887
325	370.8179811
326	370.8111087
327	370.8045794
328	370.8007199
329	370.7934425
330	370.7835631
331	370.7749069
332	370.7697646
333	370.7625209
334	370.7542741
335	370.7496912
336	370.7424351
337	370.7380075
338	370.7310594
339	370.7244344
340	370.720351
341	370.7157388
342	370.710373
343	370.70579
344	370.7007956
345	370.695683
346	370.6871717
347	370.6783917
348	370.6711321
349	370.6632599
350	370.6602376
351	370.6531129
352	370.6499503
353	370.6465254
354	370.6393165
355	370.6352596
356	370.6288827
357	370.623148
358	370.6120288
359	370.6058258
360	370.6026713
361	370.596378
362	370.591559
363	370.5896937
364	370.5834686
365	370.5754368
366	370.5705925
367	370.5686193
368	370.5650072
369	370.556447
370	370.5509265
371	370.5416895
372	370.536237
373	370.5306039
374	370.525857
375	370.5206102
376	370.5177436
377	370.5121704
378	370.5086919
379	370.5052836
380	370.4983965
381	370.4952447
382	370.4904086
383	370.4877241
384	370.4814687
385	370.4769463
386	370.4711585
387	370.4656393
388	370.4569683
389	370.4526129
390	370.4477251
391	370.4448167
392	370.4391854
393	370.4342658
394	370.4298353
395	370.4260441
396	370.4213684
397	370.418735
398	370.4134769
399	370.4076041
400	370.4035854
401	370.398147
402	370.3931927
403	370.39036
404	370.3859492
405	370.3818205
406	370.3783995
407	370.373617
408	370.3711105
409	370.3664466
410	370.3630486
411	370.3578738
412	370.3539065
413	370.3507493
414	370.3452774
415	370.3404293
416	370.3386682
417	370.3329989
418	370.3302813
419	370.3266108
420	370.3232345
421	370.3154094
422	370.3106636
423	370.3082605
424	370.3035476
425	370.2967314
426	370.2932083
427	370.2879872
